table_name,row_key,action,source_key
related_characters,related:Q1002884,insert,wikidata
related_characters,related:Q1041907,insert,wikidata
related_characters,related:Q104833057,insert,wikidata
related_characters,related:Q1051111,insert,wikidata
related_characters,related:Q105605035,insert,wikidata
related_characters,related:Q106670105,insert,wikidata
related_characters,related:Q108923148,insert,wikidata
related_characters,related:Q110147974,insert,wikidata
related_characters,related:Q110486878,insert,wikidata
related_characters,related:Q110871130,insert,wikidata
related_characters,related:Q110917411,insert,wikidata
related_characters,related:Q111301136,insert,wikidata
related_characters,related:Q111309715,insert,wikidata
related_characters,related:Q111328111,insert,wikidata
related_characters,related:Q111328112,insert,wikidata
related_characters,related:Q111333247,insert,wikidata
related_characters,related:Q111333248,insert,wikidata
related_characters,related:Q111342150,insert,wikidata
related_characters,related:Q111342207,insert,wikidata
related_characters,related:Q111376777,insert,wikidata
related_characters,related:Q111376791,insert,wikidata
related_characters,related:Q111449140,insert,wikidata
related_characters,related:Q111658696,insert,wikidata
related_characters,related:Q111658697,insert,wikidata
related_characters,related:Q111722753,insert,wikidata
related_characters,related:Q111795149,insert,wikidata
related_characters,related:Q111910187,insert,wikidata
related_characters,related:Q111910188,insert,wikidata
related_characters,related:Q111951332,insert,wikidata
related_characters,related:Q112042766,insert,wikidata
related_characters,related:Q112110359,insert,wikidata
related_characters,related:Q112110379,insert,wikidata
related_characters,related:Q112110384,insert,wikidata
related_characters,related:Q112110393,insert,wikidata
related_characters,related:Q1130690,insert,wikidata
related_characters,related:Q1131724,insert,wikidata
related_characters,related:Q1136453,insert,wikidata
related_characters,related:Q113947121,insert,wikidata
related_characters,related:Q114005814,insert,wikidata
related_characters,related:Q114888777,insert,wikidata
related_characters,related:Q114889845,insert,wikidata
related_characters,related:Q114890103,insert,wikidata
related_characters,related:Q1149855,insert,wikidata
related_characters,related:Q115441513,insert,wikidata
related_characters,related:Q115533935,insert,wikidata
related_characters,related:Q115800561,insert,wikidata
related_characters,related:Q11680813,insert,wikidata
related_characters,related:Q117178837,insert,wikidata
related_characters,related:Q117178853,insert,wikidata
related_characters,related:Q117322403,insert,wikidata
related_characters,related:Q117322409,insert,wikidata
related_characters,related:Q1194236,insert,wikidata
related_characters,related:Q12305959,insert,wikidata
related_characters,related:Q1235121,insert,wikidata
related_characters,related:Q125253709,insert,wikidata
related_characters,related:Q125348701,insert,wikidata
related_characters,related:Q128452,insert,wikidata
related_characters,related:Q128904414,insert,wikidata
related_characters,related:Q130378413,insert,wikidata
related_characters,related:Q1319513,insert,wikidata
related_characters,related:Q133267296,insert,wikidata
related_characters,related:Q133799918,insert,wikidata
related_characters,related:Q133799925,insert,wikidata
related_characters,related:Q133799944,insert,wikidata
related_characters,related:Q133800008,insert,wikidata
related_characters,related:Q1394350,insert,wikidata
related_characters,related:Q1394575,insert,wikidata
related_characters,related:Q1424480,insert,wikidata
related_characters,related:Q1447249,insert,wikidata
related_characters,related:Q14619282,insert,wikidata
related_characters,related:Q15141703,insert,wikidata
related_characters,related:Q152098,insert,wikidata
related_characters,related:Q15222919,insert,wikidata
related_characters,related:Q15229053,insert,wikidata
related_characters,related:Q1585469,insert,wikidata
related_characters,related:Q1607791,insert,wikidata
related_characters,related:Q16203115,insert,wikidata
related_characters,related:Q16253333,insert,wikidata
related_characters,related:Q1628510,insert,wikidata
related_characters,related:Q1638503,insert,wikidata
related_characters,related:Q1638775,insert,wikidata
related_characters,related:Q16619125,insert,wikidata
related_characters,related:Q16912454,insert,wikidata
related_characters,related:Q17019529,insert,wikidata
related_characters,related:Q17022155,insert,wikidata
